File	Read Length	Frequency
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	34	1
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	35	3
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	36	1
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	38	1
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	39	3
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	43	2
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	46	1
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	47	3
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	49	3
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	50	2
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	51	1
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	52	2
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	53	4
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	54	2
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	55	5
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	56	3
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	57	3
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	58	1
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	60	2
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	61	3
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	62	5
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	63	3
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	64	5
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	65	6
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	66	4
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	67	1
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	68	4
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	69	5
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	70	3
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	71	4
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	72	2
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	73	4
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	74	3
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	75	4
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	76	3
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	77	7
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	78	2
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	79	1
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	80	3
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	81	6
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	82	6
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	84	2
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	85	6
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L5-r1.fq.gz	86	4
